Date,RHA,Daily_Cases,Cumulative_Cases,Active_Cases,Recoveries,Deaths
2020/03/13 05:00:00+00,All,2,2,2,0,0
2020/03/13 05:00:00+00,Interlake-Eastern,0,0,0,0,0
2020/03/13 05:00:00+00,Northern,0,0,0,0,0
2020/03/13 05:00:00+00,Prairie Mountain Health,0,0,0,0,0
2020/03/13 05:00:00+00,Southern Health-Santé Sud,0,0,0,0,0
2020/03/13 05:00:00+00,Winnipeg,2,2,2,0,0
2020/03/14 05:00:00+00,All,1,3,3,0,0
2020/03/14 05:00:00+00,Interlake-Eastern,0,0,0,0,0
2020/03/14 05:00:00+00,Northern,0,0,0,0,0
2020/03/14 05:00:00+00,Prairie Mountain Health,0,0,0,0,0
2020/03/14 05:00:00+00,Southern Health-Santé Sud,0,0,0,0,0
2020/03/14 05:00:00+00,Winnipeg,1,3,3,0,0
2020/03/15 05:00:00+00,All,0,3,3,0,0
2020/03/15 05:00:00+00,Interlake-Eastern,0,0,0,0,0
2020/03/15 05:00:00+00,Northern,0,0,0,0,0
2020/03/15 05:00:00+00,Prairie Mountain Health,0,0,0,0,0
2020/03/15 05:00:00+00,Southern Health-Santé Sud,0,0,0,0,0
2020/03/15 05:00:00+00,Winnipeg,0,3,3,0,0
2020/03/16 05:00:00+00,All,3,6,6,0,0
2020/03/16 05:00:00+00,Interlake-Eastern,1,1,1,0,0
2020/03/16 05:00:00+00,Northern,0,0,0,0,0
2020/03/16 05:00:00+00,Prairie Mountain Health,0,0,0,0,0
2020/03/16 05:00:00+00,Southern Health-Santé Sud,0,0,0,0,0
2020/03/16 05:00:00+00,Winnipeg,2,5,5,0,0
2020/03/17 05:00:00+00,All,1,7,7,0,0
2020/03/17 05:00:00+00,Interlake-Eastern,0,1,1,0,0
2020/03/17 05:00:00+00,Northern,0,0,0,0,0
2020/03/17 05:00:00+00,Prairie Mountain Health,0,0,0,0,0
2020/03/17 05:00:00+00,Southern Health-Santé Sud,0,0,0,0,0
2020/03/17 05:00:00+00,Winnipeg,1,6,6,0,0
2020/03/18 05:00:00+00,All,7,14,14,0,0
2020/03/18 05:00:00+00,Interlake-Eastern,0,1,1,0,0
2020/03/18 05:00:00+00,Northern,0,0,0,0,0
2020/03/18 05:00:00+00,Prairie Mountain Health,0,0,0,0,0
2020/03/18 05:00:00+00,Southern Health-Santé Sud,2,2,2,0,0
2020/03/18 05:00:00+00,Winnipeg,5,11,11,0,0
2020/03/19 05:00:00+00,All,1,15,15,0,0
2020/03/19 05:00:00+00,Interlake-Eastern,0,1,1,0,0
2020/03/19 05:00:00+00,Northern,0,0,0,0,0
2020/03/19 05:00:00+00,Prairie Mountain Health,0,0,0,0,0
2020/03/19 05:00:00+00,Southern Health-Santé Sud,0,2,2,0,0
2020/03/19 05:00:00+00,Winnipeg,1,12,12,0,0
2020/03/20 05:00:00+00,All,1,16,16,0,0
2020/03/20 05:00:00+00,Interlake-Eastern,0,1,1,0,0
2020/03/20 05:00:00+00,Northern,0,0,0,0,0
2020/03/20 05:00:00+00,Prairie Mountain Health,0,0,0,0,0
2020/03/20 05:00:00+00,Southern Health-Santé Sud,0,2,2,0,0
2020/03/20 05:00:00+00,Winnipeg,1,13,13,0,0
2020/03/21 05:00:00+00,All,0,16,16,0,0
2020/03/21 05:00:00+00,Interlake-Eastern,0,1,1,0,0
2020/03/21 05:00:00+00,Northern,0,0,0,0,0
2020/03/21 05:00:00+00,Prairie Mountain Health,0,0,0,0,0
2020/03/21 05:00:00+00,Southern Health-Santé Sud,0,2,2,0,0
2020/03/21 05:00:00+00,Winnipeg,0,13,13,0,0
2020/03/22 05:00:00+00,All,1,17,17,0,0
2020/03/22 05:00:00+00,Interlake-Eastern,0,1,1,0,0
2020/03/22 05:00:00+00,Northern,0,0,0,0,0
2020/03/22 05:00:00+00,Prairie Mountain Health,0,0,0,0,0
2020/03/22 05:00:00+00,Southern Health-Santé Sud,0,2,2,0,0
2020/03/22 05:00:00+00,Winnipeg,1,14,14,0,0
2020/03/23 05:00:00+00,All,3,20,19,1,0
2020/03/23 05:00:00+00,Interlake-Eastern,0,1,1,0,0
2020/03/23 05:00:00+00,Northern,0,0,0,0,0
2020/03/23 05:00:00+00,Prairie Mountain Health,0,0,0,0,0
2020/03/23 05:00:00+00,Southern Health-Santé Sud,0,2,2,0,0
2020/03/23 05:00:00+00,Winnipeg,3,17,16,1,0
2020/03/24 05:00:00+00,All,1,21,20,1,0
2020/03/24 05:00:00+00,Interlake-Eastern,0,1,1,0,0
2020/03/24 05:00:00+00,Northern,0,0,0,0,0
2020/03/24 05:00:00+00,Prairie Mountain Health,1,1,1,0,0
2020/03/24 05:00:00+00,Southern Health-Santé Sud,0,2,2,0,0
2020/03/24 05:00:00+00,Winnipeg,0,17,16,1,0
2020/03/25 05:00:00+00,All,6,27,24,3,0
2020/03/25 05:00:00+00,Interlake-Eastern,0,1,1,0,0
2020/03/25 05:00:00+00,Northern,0,0,0,0,0
2020/03/25 05:00:00+00,Prairie Mountain Health,0,1,1,0,0
2020/03/25 05:00:00+00,Southern Health-Santé Sud,1,3,3,0,0
2020/03/25 05:00:00+00,Winnipeg,5,22,19,3,0
2020/03/26 05:00:00+00,All,9,36,31,4,1
2020/03/26 05:00:00+00,Interlake-Eastern,0,1,1,0,0
2020/03/26 05:00:00+00,Northern,0,0,0,0,0
2020/03/26 05:00:00+00,Prairie Mountain Health,2,3,3,0,0
2020/03/26 05:00:00+00,Southern Health-Santé Sud,1,4,4,0,0
2020/03/26 05:00:00+00,Winnipeg,6,28,23,4,1
2020/03/27 05:00:00+00,All,27,63,56,6,1
2020/03/27 05:00:00+00,Interlake-Eastern,0,1,1,0,0
2020/03/27 05:00:00+00,Northern,0,0,0,0,0
2020/03/27 05:00:00+00,Prairie Mountain Health,0,3,3,0,0
2020/03/27 05:00:00+00,Southern Health-Santé Sud,1,5,3,2,0
2020/03/27 05:00:00+00,Winnipeg,26,54,49,4,1
2020/03/28 05:00:00+00,All,10,73,63,9,1
2020/03/28 05:00:00+00,Interlake-Eastern,2,3,3,0,0
2020/03/28 05:00:00+00,Northern,0,0,0,0,0
2020/03/28 05:00:00+00,Prairie Mountain Health,4,7,6,1,0
2020/03/28 05:00:00+00,Southern Health-Santé Sud,0,5,2,3,0
2020/03/28 05:00:00+00,Winnipeg,4,58,52,5,1
2020/03/29 05:00:00+00,All,23,96,85,10,1
2020/03/29 05:00:00+00,Interlake-Eastern,1,4,4,0,0
2020/03/29 05:00:00+00,Northern,1,1,1,0,0
2020/03/29 05:00:00+00,Prairie Mountain Health,2,9,8,1,0
2020/03/29 05:00:00+00,Southern Health-Santé Sud,1,6,3,3,0
2020/03/29 05:00:00+00,Winnipeg,18,76,69,6,1
2020/03/30 05:00:00+00,All,9,105,91,13,1
2020/03/30 05:00:00+00,Interlake-Eastern,0,4,4,0,0
2020/03/30 05:00:00+00,Northern,0,1,1,0,0
2020/03/30 05:00:00+00,Prairie Mountain Health,0,9,8,1,0
2020/03/30 05:00:00+00,Southern Health-Santé Sud,0,6,2,4,0
2020/03/30 05:00:00+00,Winnipeg,9,85,76,8,1
2020/03/31 05:00:00+00,All,27,132,114,17,1
2020/03/31 05:00:00+00,Interlake-Eastern,1,5,5,0,0
2020/03/31 05:00:00+00,Northern,0,1,1,0,0
2020/03/31 05:00:00+00,Prairie Mountain Health,1,10,9,1,0
2020/03/31 05:00:00+00,Southern Health-Santé Sud,2,8,4,4,0
2020/03/31 05:00:00+00,Winnipeg,23,108,95,12,1
2020/04/01 05:00:00+00,All,33,165,143,21,1
2020/04/01 05:00:00+00,Interlake-Eastern,3,8,8,0,0
2020/04/01 05:00:00+00,Northern,1,2,1,1,0
2020/04/01 05:00:00+00,Prairie Mountain Health,0,10,8,2,0
2020/04/01 05:00:00+00,Southern Health-Santé Sud,7,15,11,4,0
2020/04/01 05:00:00+00,Winnipeg,22,130,115,14,1
2020/04/02 05:00:00+00,All,16,181,154,25,2
2020/04/02 05:00:00+00,Interlake-Eastern,1,9,9,0,0
2020/04/02 05:00:00+00,Northern,0,2,1,1,0
2020/04/02 05:00:00+00,Prairie Mountain Health,1,11,9,2,0
2020/04/02 05:00:00+00,Southern Health-Santé Sud,4,19,15,4,0
2020/04/02 05:00:00+00,Winnipeg,10,140,120,18,2
2020/04/03 05:00:00+00,All,10,191,152,37,2
2020/04/03 05:00:00+00,Interlake-Eastern,2,11,10,1,0
2020/04/03 05:00:00+00,Northern,0,2,1,1,0
2020/04/03 05:00:00+00,Prairie Mountain Health,0,11,7,4,0
2020/04/03 05:00:00+00,Southern Health-Santé Sud,1,20,15,5,0
2020/04/03 05:00:00+00,Winnipeg,7,147,119,26,2
2020/04/04 05:00:00+00,All,11,202,162,38,2
2020/04/04 05:00:00+00,Interlake-Eastern,0,11,10,1,0
2020/04/04 05:00:00+00,Northern,0,2,1,1,0
2020/04/04 05:00:00+00,Prairie Mountain Health,0,11,7,4,0
2020/04/04 05:00:00+00,Southern Health-Santé Sud,4,24,18,6,0
2020/04/04 05:00:00+00,Winnipeg,7,154,126,26,2
2020/04/05 05:00:00+00,All,1,203,159,42,2
2020/04/05 05:00:00+00,Interlake-Eastern,0,11,10,1,0
2020/04/05 05:00:00+00,Northern,0,2,1,1,0
2020/04/05 05:00:00+00,Prairie Mountain Health,0,11,6,5,0
2020/04/05 05:00:00+00,Southern Health-Santé Sud,0,24,18,6,0
2020/04/05 05:00:00+00,Winnipeg,1,155,124,29,2
2020/04/06 05:00:00+00,All,13,216,140,73,3
2020/04/06 05:00:00+00,Interlake-Eastern,0,11,10,1,0
2020/04/06 05:00:00+00,Northern,1,3,2,1,0
2020/04/06 05:00:00+00,Prairie Mountain Health,0,11,4,7,0
2020/04/06 05:00:00+00,Southern Health-Santé Sud,0,24,18,6,0
2020/04/06 05:00:00+00,Winnipeg,12,167,106,58,3
2020/04/07 05:00:00+00,All,3,219,118,98,3
2020/04/07 05:00:00+00,Interlake-Eastern,2,13,12,1,0
2020/04/07 05:00:00+00,Northern,0,3,0,3,0
2020/04/07 05:00:00+00,Prairie Mountain Health,0,11,4,7,0
2020/04/07 05:00:00+00,Southern Health-Santé Sud,0,24,14,10,0
2020/04/07 05:00:00+00,Winnipeg,1,168,88,77,3
